msno,msno_predict_1
+XsXM6G4UNrdF3AWAsF7isUepsmaf7mfMOFh0bNMJYc=,0.33670306202095573
+qr25BVs1befBijPStEPV01+yqRjDM5J2xSbokCTBWw=,0.2719401513184749
/bjBX6EI1ehSlZ0p9OnC2l5U2vKYEE2ImT5FCeQp5ZI=,0.4120418758087881
/qk7qM3wm7SLwiiNCnN4/vf+fTvgkKqgdSg5+0zSBzo=,0.4999420041812642
0/a1JsiL3cp7FCIDUQelVRl3WOvQr+6vttGGRSckQCM=,0.5678428665217294
0AUyE48wmokGG0q/gSW3seqZYeUHGlsn7fG+d/f/Cnk=,0.5279582714850806
0E1vRvRhsSRv2byAje12xBQrr0X6NXc2R0HwjXM7AgQ=,0.5969019069267893
0ImlcZdGXwmJtYpwv7a3Hxwt+IhksSDz+ZYBFfaPANo=,0.4843227448058642
0MpYwSr0hICdz8nGRQtCerS7oaU4bb6KlkaQOC+PQMA=,0.35924922147867466
0P4ZpN1yl46bvR85dVQhCkRTnHLSVyrhfRb4LVp4Y1M=,0.524719265582551
0q2jtocxyZD3BnU8+KM6SoRmJ5zMMnsGHPGUYkymbFk=,0.5108443977195242
0uArVQSV1tMTBpLTQe7HoZ6j8hN6iJwLjFe+NJhifJg=,0.5034274761232096
1XRrLGV3bgn2QM+tE9egPLdEPrp74HqM4UAoPDHfQR4=,0.5556872993158994
2pUzjoYYUf9j1xpJOGmzu0Zp+52MdLKsVH0eFLePBbs=,0.40465638972001633
3GgPEEsqwmrOM+CZBPqiFP+k21BKB5vLGZ+iOkTY8Rs=,0.4828367070211211
44TIqw0DMX15fjSFD++X93vPA/JPIblLq3H4BWYQcLM=,0.34198326586190636
4A/vO+NM7PX19yBs309b8Uyy6Zq3j3/laQ3Onb0KegU=,0.45345528767619486
6G8B+khnJZA8b9bzwM6rUFlp+j8J2atbifFxQ/aaVpY=,0.44211378972121224
6oX4gbl6qgyujXUfn7azJrxCv+o+yylV2sAHK1okoto=,0.7427017871467302
6pCPv8DcPHVNK8Pi0Q+jr6ZyKaAm6mU9nfGqYe7Ffgc=,0.38786670541767526
7nwGzwLMxcIgNDy+S1rmrHyu+PVNsxBERSTUWgamC9A=,0.6107575940534098
8HdGEX5lHlImmy5Q6wMB0nWq8KxpCIlUz7Yq9t7rzdU=,0.42220094098108224
8Oh8E5yTPzcI9yJQXFJE8cd+Niz3PAp99GHq5k9Fq0U=,0.3476968933937222
8lzDY1rgAegzKl561m/AZWeF+7X8TplmqesrNXsNPh0=,0.40218875278884747
9OXHGHvu7nqnhnyvW2q2HNHaGT1aSf6buKanEUGi7mo=,0.3424204862526819
9y6jbH6viqirEleoqdXp02y+l0vZoWO6OVjiRJ0lAWI=,0.6753076964322897
ASu/YBl8SWFCd7IK1GhzSxpvIeFELWLVlNvr63pvkcI=,0.5795525750295379
Ag/9DdW4tY64pC4pkHvjNIIjjq2NLjUX4CH9WUw/UJA=,0.6522535688638974
BASPgT0R2k+kf4DNGy1xsd3Wwx6jb1ABqakgsGRQw9c=,0.4806346258846778
Bu/utjNHLfkDi+BiIN4uHUnNORA1GmNRehFNZYlbL84=,0.5060793270291052
CAOJTKu7/l1nAJufGAg+zpdx8QNAP0Bhp06XhsRMJR8=,0.5753945293966324
Cgpf/2NGy4bxKK2nPPZgDLHM8AkXBOukfay137Ni534=,0.34164485305022096
